epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1476.51,0.349,0.86806,0.92183,0.70652,0.9375,0.96391,0.85508,0.58338,1.56515,1.08007,6.935e-05,6.935e-05,6.935e-05
89,1492.99,0.31347,0.81831,0.8873,0.80737,0.875,0.96391,0.8613,0.58975,1.56831,1.08472,6.44e-05,6.44e-05,6.44e-05
90,1509.45,0.35311,0.8073,0.90962,0.82138,0.875,0.96391,0.85508,0.58858,1.57548,1.08638,5.945e-05,5.945e-05,5.945e-05
91,1525.95,0.28289,1.27562,0.87511,0.82108,0.8656,0.96391,0.84886,0.58409,1.58347,1.08152,5.45e-05,5.45e-05,5.45e-05
92,1542.79,0.26584,1.2117,0.83667,0.80491,0.85303,0.96391,0.84264,0.58055,1.61992,1.07585,4.955e-05,4.955e-05,4.955e-05
93,1558.96,0.27347,1.21439,0.85053,0.77127,0.85335,0.96391,0.84886,0.57753,1.67984,1.07373,4.46e-05,4.46e-05,4.46e-05
94,1575.2,0.26826,1.22476,0.84919,0.95758,0.75,0.96391,0.84575,0.58132,1.748,1.07891,3.965e-05,3.965e-05,3.965e-05
95,1591.58,0.24755,1.20966,0.83453,0.9477,0.75,0.96391,0.84575,0.58382,1.79898,1.08083,3.47e-05,3.47e-05,3.47e-05
96,1608.59,0.25933,1.19892,0.84845,0.94371,0.75,0.96391,0.85197,0.5864,1.83187,1.08579,2.975e-05,2.975e-05,2.975e-05
97,1625.27,0.2698,1.35802,0.88427,0.93921,0.75,0.96391,0.85197,0.58616,1.85238,1.08534,2.48e-05,2.48e-05,2.48e-05
98,1641.52,0.27698,1.34134,0.83456,0.94015,0.75,0.96391,0.85197,0.58426,1.85806,1.08696,1.985e-05,1.985e-05,1.985e-05
99,1657.79,0.25942,1.30391,0.83545,0.94208,0.75,0.96391,0.86441,0.58158,1.85466,1.08537,1.49e-05,1.49e-05,1.49e-05
100,1674.86,0.27362,1.2613,0.85861,0.94547,0.75,0.96391,0.86441,0.57761,1.82965,1.08162,9.95e-06,9.95e-06,9.95e-06
